id,url,scraped_title,scraped_description,extracted_year,extracted_mileage,extracted_fuel,extracted_power,current_year,current_mileage,current_fuel,current_power,extraction_improved
1,https://auto.bazos.cz/inzerat/216127960/mazda-cx-5-22d-skyactive-4x4-automat-puvod-cr-top.php,MAZDA CX-5 2.2D SKYACTIVE 4x4 AUTOMAT PŮVOD ČR TOP,"Vozidlo zakoupeno jako nové i ojeté u autorizovaného dealera Mazda Algon s.r.o v Karlových Varech. Po celou dobu pravidelná údržba nad rámec předepsaných intervalů údržby výrobce Mazda a to s vedenou historií do roku 2026 v ČR. Do 56.000km do roku 2019 servisováno u Mazda Algon s.r.o v Karlových Varech, poté střídavě mimo autorizovaný servis a autorizovaný servis Mazda KodeCar v Hradci Králové.POSLEDNÍ VÝMĚNA OLEJE V PŘEVODOVCE NA 130.000KM - FAKTURA A DOKLAD. NOVÁ AUTOBATERIE SE ZÁRUČNÍM LISTEM...",2013,,diesel,110,2026,,diesel,110,NO
4,https://auto.bazos.cz/inzerat/215507162/mazda-5-20-di-diplomatic-7-mist-navi-vyhrsed-taznetop.php,"MAZDA 5 2,0 Di  DIPLOMATIC 7 MÍST, NAVI, VÝHŘ.SED. TAŽNÉ ZAŘ","NABÍZÍME K PRODEJI MAZDA 5 2,0Di 16V výkon81 kW / 110 PS 7 MÍST ve velmi zachovalém stavu, vůz po jednom majiteli s jasnou historií . Jedná se o prostorné rodinné MPV karoserie je zachovalá. Pod kapotou je spolehlivý benzínový čtyřválec 2,Di 16v s manuální 6 stupňovou převodovkou, motor má klidný a kultivovaný chod, ideální kombinace výkonu a vynikajicí spotřeby nafty . Najeto cca 184 000 km. 7 plnohodnotných míst k sezení, vhodné pro větší rodinu.VÝBAVA VOZU: BEZKLÍČOVÉ ZAMYKÁNÍ , NAVIGACE, TEM...",,184000,benzínový,81,,184000,benzínový,81,NO
7,https://auto.bazos.cz/inzerat/215467124/mazda-6-20i-121kw-benzin-manual-xenon-kuze-kamera-tazne.php,MAZDA 6 2.0i 121KW BENZIN MANUÁL-XENON-KUŽE-KAMERA-TAŽNÉ,"Mazda 6 2.0 ,121kw Benzin Sports-Line -zachovaly auto - Původ Německo -servisni knížka- po druhým majiteli- 2 klíče - všechny manuály- Bez Koroze -Xenony-Navigace - Elektrický kožený sedadla-vyhřívání sedadla - Přední Zadní Parkovací senzory -Parkovací kamera- Bluetooth -tempomat - hlídání mrtvého úhlu - Hlídání jízdních pruhů -Hi-Fi systém Bose -Bezklíčové ovládání -LED denní svícení - Tažné zařízení -alu kola R19 -•Poslední servis 02/2026 Po výměně olejů v motoru a filtruSTK A EMISE DO 12/2027...",2012,,,121,2012,,,121,NO
8,https://auto.bazos.cz/inzerat/216126545/mazda-cx-5-25-benzin-4x4-automat-1-majitelka.php,Mazda Cx-5 2.5 benzin 4x4 automat 1 majitelka,Prodám Mazdu Cx-5 r.v 2021 najeto 54000 šedá barva 1 majitelka český původ servis jen Mazda výbava:bezklíc hudba bose el viko výhřev sedadel volantu xenony parkovací senzory přední žádný kožený paket dig klima infotaiment zrcadlení na sklo palubni počítač adaptivni tempomat hlídání pruhu 360 kamery aj.Sada letních pneu r19 obuto ještě na zimních,2021,,benzín,,2021,,benzín,,NO
11,https://auto.bazos.cz/inzerat/215285396/mazda-6-20i-121kw-benzin-manual-xenon-navi-vyhrev-pdc.php,MAZDA 6 2.0i 121KW BENZIN MANUÁL XENON-NAVI-VYHŘEV-PDC,"Mazda 6 2.0 ,Benzin 121KW Sports-Line Sedan -zachovaly auto - Původ Německo - NEHAVAROVÁNO-servisni knížka- po druhým majiteli- 2 klíče - všechny manuály- Bez Koroze - Xenony-Navigace - vyhřívání sedadla - Přední Zadní Parkovací senzory -Bluetooth -tempomat - hlídání mrtvého úhlu - Hlídání jízdních pruhů -LED denní svícení -•Poslední servis za 35.000kč v 02/2026 Po výměně olejů v motoru a filtru - přední a zadní brzdy - přední ramenaSTK A EMISE DO 02/2027MOŽNOST PROHLÍDNOUT VAŠÍM MECHNIKEMs voze...",2013,,benzín,121,2013,,benzín,121,NO
13,https://auto.bazos.cz/inzerat/215150202/mazda-5-20i-benzin-manual-7mist-vyhrev-senzory-elposuvne-d.php,Mazda 6 2.0i BENZIN 108KW MANUÁL SENZORY TEMPOMAT,"MAZDA 6 2.0i BENZÍN 2WD KOMBI - 108KW - MANUÁLNÍ PŘEVODOVKA 6ST. - PŮVOD NĚMECKO - PO 2.MAJITELI - 2x KLÍČ - PŘEDNÍ / ZADNÍ SENZORY - TEMPOMAT - AUT. SVÍCENÍ - XENONY - USB - AUX - ZIMNÍ ORIGINÁL ALU KOLA MAZDA R17 - POSLEDNÍ SERVIS PŘI 196.395KM DNE 15.09.2025 - MOŽNOST SE DOMLUVIT NA DALŠÍ SADU KOL - BEZ INVESTIC - BEZ KOROZE - ZACHOVALÝ STAV, STAČÍ JEN NATANKOVAT A JEZDIT :-)MOŽNOST FINANCOVÁNÍ / PROTIÚČETV provozu od: 8/2009Tachometr: 201 716 kmPalivo: BenzinObjem: 1999 ccmVýkon: 108 kWPřevo...",2009,,benzín,108,,201716,benzín,108,year
18,https://auto.bazos.cz/inzerat/215517979/mazda-mx-5-nd-20-revolution.php,(REZERVOVÁNO) Mazda MX-5 (ND) 2.0 REVOLUTION,"Pomalu se blíží jaro, a proto nabízím ke koupi 4. generaci legendárního a kultovního sportovního roadsteru Mazda MX-5 (ND) s manuální převodovkou ve verzi s 2.0 litrovým atmosferickým motorem g160 (118 Kw, kroutící moment 200 Nm), který se v Česku již před rokem přestal prodávat (dostupný pouze motor 1.5), takže nové kusy s prověřeným původem v ČR, autentickým nájezdem a 1. majitelem, jako je tento již pravděpodobně nebudou.Vůz byl uveden do provozu 05/2017, je nebouraný, veškeré součásti vozu j...",2017,,,118,,,,118,year
19,https://auto.bazos.cz/inzerat/215647536/mazda-6-wagon-25-skyactiv-g-143-kw-2021-revolution.php,Mazda 6 Kombi 2.5 Skyactiv-G 194 AUT | 2021 | Revolution |,"Prodám pečlivě udržovaný vůz ve výborném technickém i vizuálním stavu, bez nutnosti dalších investic. Garážovaný, čerstvě po kompletním detailingu včetně mokrého čištění interiéru.👤 První majitel• zakoupen od Mazda Wagnerová s.r.o. při 2233 km• kompletní elektronická servisní historie Mazda• autorizovaný servis Mazda Wagnerová (Tábor) od PDI (3 km) přes 20/40/60/80/100 tis. km• následně běžná údržba (olej, filtry, brzdy) u nezávislého servisu• vše doložitelné fakturami• prověřeno CEBIA🛞 Pneumati...",2000,10,,,,10,,,year
22,https://auto.bazos.cz/inzerat/215841557/mazda-cx-5-20-skyactiv-g-118kw-awd-122015-90708km-navi.php,MAZDA CX-5 2.0 SKYACTIV-G 118kW AWD-12/2015-90.708KM-NAVI-,"► PRODÁM ◄► MAZDA CX5, CX 5 FACELIFT 2,0 SKYACTIV G 118kW 4x4 ve velmi zachovalém stavu, pravidelně servisované výlučně u aut. dealera Mazda, po prvním majiteli, nekuřák• EDICE SPORTS-LINE• ODKAZ NA FOTOGALERII VOZIDLA A SERVISNÍ KNIHY ZAŠLU NA VYŽÁDÁNÍ.CARVERTICAL + CEBIA REPORT K DISPOZICI ✔➡ VIN: na vyžádání►Technické údaje:Karoserie: SUVNajeto: 90.708 KMObjem: 1 998 ccmVýkon: 118 kWPalivo: benzínPohon: všech kolDatum první registrace: 22.12.2015STK platné do: 03/2028Barva: červená met.Převod...",2015,,,118,,,benzín,118,year
23,https://auto.bazos.cz/inzerat/216007675/mazda-6-20-skyactiv-g-121kw-2013-149720km-vyhrevkamera.php,"MAZDA 6 2.0 SKYACTIV-G 121kW-2013-149.720KM-VÝHŘEV,KAMERA-","► PRODÁM ◄► MAZDA 6 GJ 2,0 SKYACTIV G 121kW ve velmi zachovalém stavu, pravidelně servisované, po prvním majiteli, nekuřák• EDICE SPORTS-LINE✔ CARVERTICAL + CEBIA report k dispozici➡ VIN: na vyžádání📷 Odkaz na kompletní fotogalerii a servisní knihu zašlu na vyžádání► Technické údaje:Karoserie: kombiNajeto: 149.720 KMMotor: 2.0 SKYACTIV-G 121kWObjem: 1 998 ccmVýkon: 121 kWPalivo: benzínDatum první registrace: 24.07.2013STK platné do: 03/2028Barva: červená met.Převodovka: manuálníPlní EURO: EURO 5...",2013,,,121,,,benzín,121,year
