id,url,gap_type,missed_year,missed_year_context,missed_mileage,missed_mileage_context,missed_fuel,missed_fuel_context,extracted_year,extracted_mileage,extracted_fuel
1,https://auto.bazos.cz/inzerat/216127960/mazda-cx-5-22d-skyactive-4x4-automat-puvod-cr-top.php,mileage,,,56000,istorií do roku 2026 v ČR. Do 56.000km do roku 2019 servisováno u Ma,,,2013,,diesel
7,https://auto.bazos.cz/inzerat/215467124/mazda-6-20i-121kw-benzin-manual-xenon-kuze-kamera-tazne.php,mileage,,,121000,MAZDA 6 2.0i 121KW BENZIN MANUÁL-XENON-KUŽE-KAM,,,2012,,
8,https://auto.bazos.cz/inzerat/216126545/mazda-cx-5-25-benzin-4x4-automat-1-majitelka.php,mileage,,,54000,"ka
Prodám Mazdu Cx-5 r.v 2021 najeto 54000 šedá barva 1 majitelka český ",,,2021,,benzín
11,https://auto.bazos.cz/inzerat/215285396/mazda-6-20i-121kw-benzin-manual-xenon-navi-vyhrev-pdc.php,mileage,,,121000,MAZDA 6 2.0i 121KW BENZIN MANUÁL XENON-NAVI-VYH,,,2013,,benzín
13,https://auto.bazos.cz/inzerat/215150202/mazda-5-20i-benzin-manual-7mist-vyhrev-senzory-elposuvne-d.php,mileage,,,196395,ZDA R17 - POSLEDNÍ SERVIS PŘI 196.395KM DNE 15.09.2025 - MOŽNOST SE D,,,2009,,benzín
18,https://auto.bazos.cz/inzerat/215517979/mazda-mx-5-nd-20-revolution.php,mileage,,,118000,"m atmosferickým motorem g160 (118 Kw, kroutící moment 200 Nm), kt",,,2017,,
22,https://auto.bazos.cz/inzerat/215841557/mazda-cx-5-20-skyactiv-g-118kw-awd-122015-90708km-navi.php,mileage,,,90708," SKYACTIV-G 118kW AWD-12/2015-90.708KM-NAVI-
► PRODÁM ◄► MAZDA CX5, ",,,2015,,
23,https://auto.bazos.cz/inzerat/216007675/mazda-6-20-skyactiv-g-121kw-2013-149720km-vyhrevkamera.php,mileage,,,149720,"A 6 2.0 SKYACTIV-G 121kW-2013-149.720KM-VÝHŘEV,KAMERA-
► PRODÁM ◄► MA",,,2013,,
24,https://auto.bazos.cz/inzerat/215886633/mazda-6-25-skyactiv-g-141kw-2013-176211km-digklimarvm.php,mileage,,,176211,"A 6 2.5 SKYACTIV-G 141kW-2013-176.211KM-DIG.KLIMA,RVM-
► PRODÁM ◄► MA",,,2013,,
27,https://auto.bazos.cz/inzerat/214751451/mazda-6-wagon-20-skyactiv-121-kw.php,year,2016,6 Wagon 2.0 Skyactiv 121 kW08/2016 (Německo) | 141 209 km | Benz,,,,,,141209,benzín
