id,url,current_year,current_mileage,current_fuel,current_power
1,https://auto.bazos.cz/inzerat/216127960/mazda-cx-5-22d-skyactive-4x4-automat-puvod-cr-top.php,2026,,diesel,110
4,https://auto.bazos.cz/inzerat/215507162/mazda-5-20-di-diplomatic-7-mist-navi-vyhrsed-taznetop.php,,184000,benzínový,81
7,https://auto.bazos.cz/inzerat/215467124/mazda-6-20i-121kw-benzin-manual-xenon-kuze-kamera-tazne.php,2012,,,121
8,https://auto.bazos.cz/inzerat/216126545/mazda-cx-5-25-benzin-4x4-automat-1-majitelka.php,2021,,benzín,
11,https://auto.bazos.cz/inzerat/215285396/mazda-6-20i-121kw-benzin-manual-xenon-navi-vyhrev-pdc.php,2013,,benzín,121
13,https://auto.bazos.cz/inzerat/215150202/mazda-5-20i-benzin-manual-7mist-vyhrev-senzory-elposuvne-d.php,,201716,benzín,108
18,https://auto.bazos.cz/inzerat/215517979/mazda-mx-5-nd-20-revolution.php,,,,118
19,https://auto.bazos.cz/inzerat/215647536/mazda-6-wagon-25-skyactiv-g-143-kw-2021-revolution.php,,10,,
22,https://auto.bazos.cz/inzerat/215841557/mazda-cx-5-20-skyactiv-g-118kw-awd-122015-90708km-navi.php,,,benzín,118
23,https://auto.bazos.cz/inzerat/216007675/mazda-6-20-skyactiv-g-121kw-2013-149720km-vyhrevkamera.php,,,benzín,121
24,https://auto.bazos.cz/inzerat/215886633/mazda-6-25-skyactiv-g-141kw-2013-176211km-digklimarvm.php,,,benzín,141
27,https://auto.bazos.cz/inzerat/214751451/mazda-6-wagon-20-skyactiv-121-kw.php,,141209,benzín,121
28,https://auto.bazos.cz/inzerat/215792550/mazda-cx-30-20-skyactiv-g-110kw-automat-2021-46388km-navi.php,,,benzín,110
29,https://auto.bazos.cz/inzerat/215792320/mazda-6-20-skyactiv-g-121kw-2014-122555km-acvyhrevpdc.php,,,benzín,121
30,https://auto.bazos.cz/inzerat/215754301/mazda-cx-5-20-skyactiv-g-121kw-2015-116107km-navivyhrev.php,,,benzín,121
31,https://auto.bazos.cz/inzerat/215791717/mazda-cx-5-20-skyactiv-g-121kw-2016-107410km-navivyhrev.php,,,benzín,121
32,https://auto.bazos.cz/inzerat/215747664/mazda-cx-5-20-skyactiv-g-121kw-2015-72500km-navivyhrev.php,,,benzín,121
33,https://auto.bazos.cz/inzerat/215876294/mazda-6-20-disi-114kw-2010-224885km-klimaelokna.php,,,benzín,114
34,https://auto.bazos.cz/inzerat/214678036/mazda-cx-5-22-diesel-4x4skyactivenavivyhrev.php,,,diesel,110
35,https://auto.bazos.cz/inzerat/216115685/mazda-cx-3-20-88-kw.php,,100567,benzín,88
37,https://auto.bazos.cz/inzerat/215867201/mazda-6-kombi-gl-fl-25-skyactiv-g-143kw-krasavice.php,,,,143
38,https://auto.bazos.cz/inzerat/215867393/mazda-cx-30-20-skyactiv-g122-jen-14tiskm-zaruka-do-2030.php,2024,,,90
39,https://auto.bazos.cz/inzerat/215867674/mazda-cx-5-kf-fl-20-skyactiv-g-121kw-new-ground-zaruka-2029.php,2023,,,121
40,https://auto.bazos.cz/inzerat/215638009/mazda-5-20-110-kw-benzin139-600-km-tazne-7mist.php,,139564,,110
41,https://auto.bazos.cz/inzerat/215992988/mazda-cx-5-20benzinmanualpouze-115tiskm-zaruka.php,,,benzín,121
43,https://auto.bazos.cz/inzerat/216207366/mazda-mx-5-nc-fl-20-prht-118kw.php,2012,,,118
44,https://auto.bazos.cz/inzerat/215946540/mazda-6-mazda-6-gh-diesel-22-rok-2012.php,2012,,diesel,
45,https://auto.bazos.cz/inzerat/215536777/mazda-2-13-mpi1maj-1943-64000km.php,,64780,benzín,55
47,https://auto.bazos.cz/inzerat/216192622/mazda-cx-30-20i-110kw-1majitel-52000km-servis-mazda-kamera.php,,52000,,110
48,https://auto.bazos.cz/inzerat/213751051/mazda-cx-5-kf-22d-skyactive-135kw-revolution-4x4-automat.php,2019,,,135
50,https://auto.bazos.cz/inzerat/216146028/mazda-cx5-22d-129kw-awd-4x4-skyactive-model-2013.php,2013,,,129
54,https://auto.bazos.cz/inzerat/216143403/mazda-cx5-2015-22d-skyactiv-fwd.php,2015,,,110
58,https://auto.bazos.cz/inzerat/216164842/mazda-cx-5-20i-121kw-4x4-1majitel-90000km-servis-mazda.php,,80000,,121
60,https://auto.bazos.cz/inzerat/216131493/mazda-6-25-143kw-skyactive-2020.php,2020,,,143
61,https://auto.bazos.cz/inzerat/216120515/mazda-6-20i-114kw2011kuzevyhrevydigiklimaservibez-rzi.php,2011,,,114
64,https://auto.bazos.cz/inzerat/216115472/mazda-cx-5-20-skyactiv-121kw-1majitel-r2014.php,,145000,benzín,121
65,https://auto.bazos.cz/inzerat/215995733/mazda-6-25i-141kw-sports-line-full-led-kamera-bose.php,,149000,,141
66,https://auto.bazos.cz/inzerat/215703611/mazda-2-13i-55kwrok-2010177tkmservis-knizkanova-stk.php,2010,,,55
67,https://auto.bazos.cz/inzerat/216096279/mazda-2-13i-klima-model-2010.php,2010,,,
69,https://auto.bazos.cz/inzerat/215600449/mazda-cx-5-20-benzin-160ps-4x4-revolution-rok-2018-nove-cz.php,2018,,benzín,118
70,https://auto.bazos.cz/inzerat/215427654/mazda-6-22-d-skyactive-110kwrok-042015-cervena-metaliza.php,,185000,diesel,110
74,https://auto.bazos.cz/inzerat/215231679/mazda-3-20i-90kw-sports-g122-bose-led-acc-kamera.php,,133000,,90
75,https://auto.bazos.cz/inzerat/215797557/mazda-cx-3-20i-88kw-revolution-head-up-led-kamera-tazne.php,,139000,,88
76,https://auto.bazos.cz/inzerat/215382286/mazda-cx-30-20-90kw-skyactiv-automat-led-head-up-area-360.php,,133000,,90
78,https://auto.bazos.cz/inzerat/214914901/mazda-2-13-benzin-najeto-118000.php,2010,,benzín,
80,https://auto.bazos.cz/inzerat/215871012/mazda-6-gj-20i-121kw-skyactive-bi-xenon-rvm-tempomat.php,,115000,,121
81,https://auto.bazos.cz/inzerat/216007246/mazda-mx-5.php,2001,,,81
82,https://auto.bazos.cz/inzerat/215909317/mazda-6-2015-22-diesel-6mt.php,2015,,diesel,
84,https://auto.bazos.cz/inzerat/215958816/mazda-cx-5-20-121kw-advantage-rv012022-naviledhead-up.php,,72300,,121
85,https://auto.bazos.cz/inzerat/215692464/mazda-3-sedan-20-skyactiv-g-132-kw.php,,,benzín,132
87,https://auto.bazos.cz/inzerat/215690528/mazda-6-gh-22-136-kw.php,,,Naftový,136
88,https://auto.bazos.cz/inzerat/215683137/prodam-mazdu-cx-9-37i-awd-2015.php,2015,,,204
89,https://auto.bazos.cz/inzerat/216242697/mazda-cx-5-20-najeto-56-tis-led-navi-awd-4x4-1-maj.php,,56000,benzín,121
90,https://auto.bazos.cz/inzerat/216242698/mazda-3.php,2005,,diesel,
93,https://auto.bazos.cz/inzerat/216235689/mazda-cx5-4wd-22-diesel.php,,,diesel,129
